"match_id","utc_start_time","season_id","round_id","home_team_id","away_team_id","venue_name","venue_location","venue_state","venue_timezone","match_date","match_time"
"CD_M20222640802",2022-02-26 06:10:00,2022,8,"RI","GE","Swinburne Centre","Melbourne","VIC","Australia/Melbourne","26-02-2022","17:10 +1100"
"CD_M20222640803",2022-02-26 08:10:00,2022,8,"ME","NM","Casey Fields","Melbourne","VIC","Australia/Melbourne","26-02-2022","19:10 +1100"
"CD_M20222640804",2022-02-26 10:10:00,2022,8,"FR","WC","Optus Stadium","Perth","WA","Australia/Perth","26-02-2022","18:10 +0800"
"CD_M20222640805",2022-02-27 02:10:00,2022,8,"CW","WB","Victoria Park","Melbourne","VIC","Australia/Melbourne","27-02-2022","13:10 +1100"
"CD_M20222640806",2022-02-27 04:10:00,2022,8,"AD","BL","Norwood Oval","Adelaide","SA","Australia/Adelaide","27-02-2022","14:40 +1030"
"CD_M20222640807",2022-02-27 06:10:00,2022,8,"GC","SK","Metricon Stadium","Gold Coast","QLD","Australia/Brisbane","27-02-2022","16:10 +1000"
"CD_M20222640903",2022-03-03 13:00:00,2022,9,"CA","GC","Ikon Park","Melbourne","VIC","Australia/Melbourne","03-03-2022","00:00 +1100"
"CD_M20222640905",2022-03-03 13:00:00,2022,9,"GW","RI","Blacktown International Sportspark","Sydney","NSW","Australia/Sydney","03-03-2022","00:00 +1100"
"CD_M20222640906",2022-03-03 13:00:00,2022,9,"SK","GE","RSEA Park","Melbourne","VIC","Australia/Melbourne","03-03-2022","00:00 +1100"
"CD_M20222640901",2022-03-03 13:30:00,2022,9,"AD","CW","Norwood Oval","Adelaide","SA","Australia/Adelaide","03-03-2022","00:00 +1030"
"CD_M20222640902",2022-03-03 14:00:00,2022,9,"BL","NM","Maroochydore","Maroochydore","QLD","Australia/Brisbane","03-03-2022","00:00 +1000"
"CD_M20222640904",2022-03-03 16:00:00,2022,9,"FR","ME","Fremantle Oval","Perth","WA","Australia/Perth","03-03-2022","00:00 +0800"
"CD_M20222640907",2022-03-03 16:00:00,2022,9,"WC","WB","Mineral Resources Park","Perth","WA","Australia/Perth","03-03-2022","00:00 +0800"
"CD_M20222641001",2022-03-10 13:00:00,2022,10,"CW","GC","Victoria Park","Melbourne","VIC","Australia/Melbourne","10-03-2022","00:00 +1100"
"CD_M20222641002",2022-03-10 13:00:00,2022,10,"GE","GW","GMHBA Stadium","Geelong","VIC","Australia/Melbourne","10-03-2022","00:00 +1100"
"CD_M20222641003",2022-03-10 13:00:00,2022,10,"ME","CA","Casey Fields","Melbourne","VIC","Australia/Melbourne","10-03-2022","00:00 +1100"
"CD_M20222641004",2022-03-10 13:00:00,2022,10,"NM","WC","Arden Street Oval","Melbourne","VIC","Australia/Melbourne","10-03-2022","00:00 +1100"
"CD_M20222641005",2022-03-10 13:00:00,2022,10,"RI","BL","Swinburne Centre","Melbourne","VIC","Australia/Melbourne","10-03-2022","00:00 +1100"
"CD_M20222641006",2022-03-10 13:00:00,2022,10,"SK","AD","RSEA Park","Melbourne","VIC","Australia/Melbourne","10-03-2022","00:00 +1100"
"CD_M20222641007",2022-03-10 13:00:00,2022,10,"WB","FR","Mars Stadium","Ballarat","VIC","Australia/Melbourne","10-03-2022","00:00 +1100"
